Date,Avg. Temperature(°F),Avg. Humidity(%),Avg. Dewpoint(°F),Avg. Barometer(in),Avg. Windspeed(mph),Avg. Gust speed(mph),Avg. Direction(°deg),Rainfall for month(in),Rainfall for year(in),Max. rain per minute,Max. Temperature(°F),Min. Temperature(°F),Max. Humidity(%),Min. Humidity(%),Max. Pressure,Min. Pressure,Max. Windspeed(mph),Max. Gust speed(mph),Max. Heat Index(°F)
2023-01-22 00:00:00,22.1,62,10.9,29.9,1.9,3.5,139,0.2,0.48,0.01,32.1,7.9,79,45,30.112,29.827,10.4,18.4,32.1
2023-01-23 00:00:00,20.2,82,15.5,30.1,1.4,2.7,96,0.23,0.51,0.01,27.2,8.2,91,70,30.166,30.006,8.1,13.8,27.2
2023-01-24 00:00:00,19.9,63,8.7,30.1,3.8,6.3,140,0.23,0.51,0,31.5,7.9,92,34,30.131,29.947,12.7,23,31.5
2023-01-25 00:00:00,17.6,48,1,30.2,4.6,7.8,263,0.23,0.51,0,24.1,14.4,60,37,30.345,30.076,13.8,19.6,24.1
2023-01-26 00:00:00,20.8,44,2,30.2,13.4,19.6,252,0.24,0.52,0.01,27,14.5,51,32,30.332,30.057,26.5,39.1,27
2023-01-27 00:00:00,26.8,55,12.6,29.8,13.6,19.9,254,0.24,0.52,0,33.2,23.7,81,43,30.063,29.687,26.5,40.3,33.2
2023-01-28 00:00:00,21,69,11.9,29.8,6.8,10.5,286,0.24,0.52,0,32.5,3.1,89,50,29.963,29.604,23,33.4,32.5
2023-01-29 00:00:00,0.8,80,5.4,30.1,3.6,5.5,52,0.24,0.52,0,7.2,9.5,84,77,30.396,29.845,10.4,15,7.2
2023-01-30 00:00:00,0.1,82,4.3,30.4,1.3,2.2,48,0.24,0.52,0,9.5,9.4,85,79,30.461,30.335,5.8,8.1,9.5
2023-01-31 00:00:00,16.6,42,3.5,30.3,12.2,16.8,258,0.28,0.56,0.01,26,2.3,82,24,30.451,30.188,21.9,33.4,26
2022-01-01 00:00:00,10.4,69,1.3,29.9,4.5,6.9,251,0.12,0.62,0.01,19.5,4.6,88,34,30.206,29.622,17.3,29.9,19.5
2022-01-02 00:00:00,26.9,38,4.2,30.2,10.5,15.4,238,0.14,0.64,0.01,36.7,14.2,49,28,30.361,30.136,19.6,32.2,36.7
2022-01-03 00:00:00,33.2,33,6.9,30,10.7,15.5,230,0.14,0.64,0,40.1,24.7,45,25,30.155,29.741,28.8,42.6,40.1
2022-01-04 00:00:00,29.9,44,9.7,29.7,9.7,15.1,234,0.14,0.64,0,34.4,24.1,73,28,29.886,29.611,25.3,41.4,34.4
2022-01-05 00:00:00,19.3,74,12.2,29.8,8.4,12.6,243,0.14,0.64,0,32.5,0.5,86,55,30.007,29.554,20.7,29.9,32.5
2022-01-06 00:00:00,21.3,74,13.9,30,11.2,16.6,240,0.34,0.84,0.01,41.5,0.6,92,52,30.213,29.76,29.9,46,41.5
2022-01-07 00:00:00,42.5,42,20.5,29.5,10.5,15.1,213,0.34,0.84,0,49.9,36.9,62,25,29.771,29.327,33.4,47.2,49.9
2022-01-08 00:00:00,33.1,51,16.2,29.6,10.7,16.1,236,0.35,0.85,0.01,40,16.8,90,35,30.114,29.345,26.5,43.7,40
2022-01-09 00:00:00,26.2,40,4,30.4,8.5,12.4,239,0.35,0.85,0,36.3,12.1,73,24,30.604,30.11,23,33.4,36.3
2022-01-10 00:00:00,27.8,43,4,30.6,3.3,4.8,159,0.35,0.85,0,53.2,6,81,14,30.717,30.344,18.4,26.5,53.2
2022-01-11 00:00:00,38.3,20,0.5,30.2,11.4,16,193,0.35,0.85,0,43.1,35.6,30,2,30.346,29.858,23,32.2,43.1
2022-01-12 00:00:00,38.7,40,16.5,30.1,13.3,18.9,216,0.35,0.85,0,45.5,34,49,29,30.184,30.062,23,35.7,45.5
2022-01-13 00:00:00,43.8,35,16.7,30,6.9,10.1,232,0.35,0.85,0,56.4,37.2,48,17,30.204,29.679,20.7,33.4,56.4
2022-01-14 00:00:00,32.4,45,12.8,29.9,8.2,12.4,306,0.35,0.85,0,46.5,20.8,67,21,30.274,29.603,21.9,33.4,46.5
2022-01-15 00:00:00,28.6,41,2.1,30.3,6.9,10.2,223,0.35,0.85,0,48.8,4.2,85,10,30.441,30.063,25.3,42.6,48.8
2022-01-16 00:00:00,38.4,26,5.3,29.9,10.8,15.6,230,0.35,0.85,0,47,25.3,60,16,30.1,29.862,24.2,39.1,47
2022-01-17 00:00:00,40.6,24,6.8,29.8,12.4,18.5,238,0.35,0.85,0,45.8,36.6,33,18,29.877,29.674,24.2,35.7,45.8
2022-01-18 00:00:00,35.7,24,1.6,29.7,7.7,11.2,239,0.35,0.85,0,41.3,23.3,50,17,29.84,29.624,17.3,27.6,41.3
2022-01-19 00:00:00,17.5,85,13.7,30.1,2.8,4.5,33,0.35,0.85,0,25.3,9.5,92,49,30.389,29.838,9.2,11.5,25.3
2022-01-20 00:00:00,21.8,55,5.9,30.3,8.7,12.5,231,0.35,0.85,0,34.6,2.2,91,29,30.481,30.034,23,33.4,34.6
2022-01-21 00:00:00,27.7,71,18.9,30.1,5.6,8.7,243,0.35,0.85,0,32.3,20.8,91,48,30.287,29.927,24.2,36.8,32.3
2022-01-22 00:00:00,21.6,68,10.9,30.3,2.9,4.5,258,0.41,0.91,0.01,41.8,3.2,90,25,30.381,30.248,15,21.9,41.8
2022-01-23 00:00:00,27.5,56,12,30.2,6,9.3,253,0.41,0.91,0,46.8,7.9,86,30,30.383,29.925,18.4,29.9,46.8
2022-01-24 00:00:00,30.9,44,10.8,29.8,7.5,11.1,234,0.41,0.91,0,37.3,21.6,86,30,29.94,29.709,18.4,29.9,37.3
2022-01-25 00:00:00,17,84,13,30.1,2.6,4.2,60,0.44,0.94,0.01,21.6,1.6,90,74,30.315,29.799,10.4,16.1,21.6
2022-01-26 00:00:00,20.7,47,1.4,30.2,7.9,11.7,240,0.47,0.97,0.01,34.5,6.2,90,25,30.291,30.127,18.4,27.6,34.5
2022-01-27 00:00:00,16.6,68,7.1,30.3,3.9,6.1,292,0.49,0.99,0.01,25.2,1,87,27,30.543,30.14,20.7,27.6,25.2
2022-01-28 00:00:00,31.2,26,0.6,30.4,11.4,16.8,240,0.5,1,0.01,42.6,19.9,38,16,30.557,30.242,23,32.2,42.6
2022-01-29 00:00:00,40.5,13,7.1,30.1,10.2,14.8,233,0.5,1,0,49.9,32,22,8,30.258,29.94,21.9,33.4,49.9
2022-01-30 00:00:00,36.2,17,6.6,29.9,5.5,8,224,0.5,1,0,50.6,18.6,35,6,29.962,29.823,16.1,24.2,50.6
2022-01-31 00:00:00,37.2,18,3.7,29.6,14.8,21.6,168,0.5,1,0,44.7,30.7,36,9,29.823,29.419,29.9,47.2,44.7
2022-10-01 00:00:00,49.2,68,38.6,29.8,2.1,3.8,255,0,8.31,0,59.5,36.8,89,47,29.928,29.73,16.1,27.6,59.5
2022-10-02 00:00:00,48.4,66,36,30,3.8,6,263,0,8.31,0,65,34.6,93,35,30.023,29.893,15,26.5,65
2022-10-03 00:00:00,52.3,57,36.6,29.9,4.9,7.8,267,0.12,8.43,0.06,65.7,41.9,82,34,29.949,29.811,13.8,25.3,65.7
2022-10-04 00:00:00,43.8,80,37.1,30,1.9,3.2,308,0.22,8.53,0.02,60,29.9,96,40,30.103,29.944,15,21.9,60
